01;Alava;16
02;Albacete;8
03;Alicante;10
04;Almería;1
05;Ávila;7
06;Badajoz;11
07;Baleares;4
08;Barcelona;9
09;Burgos;7
10;Cáceres;11
11;Cádiz;1
12;Castellón;10
13;Ciudad Real;8
14;Córdoba;1
15;A Coruña;12
16;Cuenca;8
17;Girona;9
18;Granada;1
19;Guadalajara;8
20;Guipúzcoa;16
21;Huelva;1
22;Huesca;2
23;Jaén;1
24;León;7
25;Lleida;9
26;La Rioja;17
27;Lugo;12
28;Madrid;13
29;Málaga;1
30;Murcia;14
31;Navarra;15
32;Ourense;12
33;Asturias;3
34;Palencia;7
35;Las Palmas;5
36;Pontevedra;12
37;Salamanca;7
38;Santa Cruz de Tenerife;5
39;Cantabria (Santander);6
40;Segovia;7
41;Sevilla;1
42;Soria;7
43;Tarragona;9
44;Teruel;2
45;Toledo;8
46;Valencia;10
47;Valladolid;7
48;Vizcaya;16
49;Zamora;7
50;Zaragoza;2
51;Ceuta;18
52;Melilla;19
